id	mSite	Desktop
312	https://m.fincaraiz.com.co/casas/venta/fontibon/bogota/	https://www.fincaraiz.com.co/casas/venta/fontibon/bogota/
313	https://m.fincaraiz.com.co/lotes/venta/manizales/	https://www.fincaraiz.com.co/lotes/venta/manizales/
314	https://m.fincaraiz.com.co/apartamentos/arriendo/bochica/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/bochica/bogota/
315	https://m.fincaraiz.com.co/casas/arriendo/bosa/bogota/	https://www.fincaraiz.com.co/casas/arriendo/bosa/bogota/
316	https://m.fincaraiz.com.co/apartamentos/arriendo/ciudad-jardin/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/ciudad-jardin/bogota/
317	https://m.fincaraiz.com.co/apartamentos/arriendo/laureles/medellin/	https://www.fincaraiz.com.co/apartamentos/arriendo/laureles/medellin/
318	https://m.fincaraiz.com.co/locales/arriendo/medellin/	https://www.fincaraiz.com.co/locales/arriendo/medellin/
319	https://m.fincaraiz.com.co/apartamentos/arriendo/pontevedra/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/pontevedra/bogota/
320	https://m.fincaraiz.com.co/apartaestudios/arriendo/armenia/	https://www.fincaraiz.com.co/apartaestudios/arriendo/armenia/
321	https://m.fincaraiz.com.co/apartamentos/venta/norte/cali/	https://www.fincaraiz.com.co/apartamentos/venta/norte/cali/
322	https://m.fincaraiz.com.co/casas/venta/sogamoso/	https://www.fincaraiz.com.co/casas/venta/sogamoso/
323	https://m.fincaraiz.com.co/apartamentos/venta/tunja/	https://www.fincaraiz.com.co/apartamentos/venta/tunja/
324	https://m.fincaraiz.com.co/apartamentos/arriendo/marsella/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/marsella/bogota/
325	https://m.fincaraiz.com.co/habitaciones/arriendo/cucuta/	https://www.fincaraiz.com.co/habitaciones/arriendo/cucuta/
326	https://m.fincaraiz.com.co/apartamentos/venta/chapinero/bogota/	https://www.fincaraiz.com.co/apartamentos/venta/chapinero/bogota/
327	https://m.fincaraiz.com.co/finca-raiz/arriendos/ibague/	https://www.fincaraiz.com.co/finca-raiz/arriendos/ibague/
328	https://m.fincaraiz.com.co/lotes/venta/la-calera/	https://www.fincaraiz.com.co/lotes/venta/la-calera/
329	https://m.fincaraiz.com.co/apartamentos/arriendo/restrepo/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/restrepo/bogota/
330	https://m.fincaraiz.com.co/fincas/alquiler-vacacional/cundinamarca/	https://www.fincaraiz.com.co/fincas/alquiler-vacacional/cundinamarca/
331	https://m.fincaraiz.com.co/habitaciones/arriendo/ibague/	https://www.fincaraiz.com.co/habitaciones/arriendo/ibague/
332	https://m.fincaraiz.com.co/lotes/venta/villeta/	https://www.fincaraiz.com.co/lotes/venta/villeta/
333	https://m.fincaraiz.com.co/casas/venta/modelia/bogota/	https://www.fincaraiz.com.co/casas/venta/modelia/bogota/
